session_id,feedback
2024-09-16 09:37:49.104202,"Both weren't very helpful and didn't understand my questions, it was frustrating. I did get some answers about movies but they seemed pretty random and disjointed."
2024-09-16 09:40:33.178317,"Both chat bots were incredibly poor, CRS1 did not recommend any similar movies to the criteria I posted and CRS2 despite initially giving a potentially good suggestion then went on to make nonsensical rambles and a plethora of spelling mistakes."
2024-09-16 09:46:03.684262,Well CRS 1 chatbot was very useless and didn't really know what it was doing. While CRS 2 did do a much better job.
2024-09-16 09:52:27.499407,"Both seem unable to communicate well. CRS 2 at least greeted me when I said hello. CRS 1 gave a list of movies at the beginning, but couldn't answer my questions afterwards. Neither seemed to be able to talk properly, repeating some phrases in CRS 2."
2024-09-16 09:54:51.053364,"Both sides seem to willfully misunderstand the query. Communicating with them was frustrating and I wished I hadn't bothered, it would have been simpler to do a Google search. "
2024-09-16 10:01:57.644581,"CRS 1 actually provided me with recommendations and answers my questions clearly, even when i offered multiple ones. CRS 2 was incoherent, said they could give me movie reommendations yet didnt and was really bad at interacting like a normal person"
2024-09-16 10:05:58.252168,"They are both poor, but CRS2 at least gave me a relevant answer"
2024-09-16 10:15:49.141954,"The first one gave completely irrelevant answers. It used the same words frequently. It did not answer my questions. The second one seemed more accurate. But it also gave error frequently. Even though I tried several times, it gave error every time."
2024-09-16 10:35:59.896742,CRS 2 was still frustrating to use but it did at least provide me with a list. CRS 1 was pretty useless and gave me no proper answer.
2024-09-16 10:36:09.425166,I felt CRS1 offered more logical responses when asking for recommendations.   CRS2 provided blank responses a couple of times.
2024-09-16 10:43:45.296671,The CRS didn't respond to the questions when asked for more depth. They could not justify their choices. CRS 1 digressed and the answers did not make sense at points. 
2024-09-16 10:48:29.702693,"Both were poor, unfortunately. CRS1 couldn't even name a movie. CRS2 couldn't give me any details."
2024-09-16 10:49:01.781444,"Neither of them answered the question I was asking, and kept repeating the incorrect information"
2024-09-16 10:58:19.796952,They were both terrible and absolutely useless. Waste of my time.
2024-09-16 11:00:10.496843,"they were both as useless as eachother, neither really seemed to grasp what I was asking "
2024-09-16 11:01:46.607551,"CRS1 was a bit better, but both were inaccurate, slow and didnt engage me"
2024-09-16 11:07:23.736472,that was a clear winner - first one just nonsense and 2nd one gave vwery good recommendations 
2024-09-16 11:07:05.872720,"I could not get CRS 1 to stay on topic when I was asking about a movie. While I could get CRS 2 to do a better job, it still would not explain something that I requested."
2024-09-16 11:15:25.921499,Both chatbots were frustrating. They couldn't respond well to my questions and some responses were meaningless. I ended up feeling like it was a waste of time
2024-09-16 11:17:44.936365,Both answered totally wrong on some of my questions but both answered 1 right i would say up till the end crs 2 was just slightly better but not by much
2024-09-16 11:14:57.722089,"Neither chat provides complete questions. Both did not answer questions correctly.  For example asking  WHAT COUNTRIES CELEBRATE HALLOWEEN , it answered by giving cartoon titles i. It appears to run slowly compared to other AI chats i have used in the past.  "
2024-09-16 11:24:11.166408,Out of two of them they answered only one question correctly. Neither of them gave any where near satisfactory answers.
2024-09-16 11:34:12.133665,CR2 seems to be more intellegent and friendly. It understood my instruction correctly and gave me answers. 
2024-09-16 11:34:52.504410,I felt that CRS  2 was able to recognise my preferences a lot better and come up with some decent options to choose from.
2024-09-16 11:43:45.387913,"They are both rather terrible. Incomplete sentences, repeating words. CRS 1 recommended movies that did not fit my request, at all. CRS 2 seemed to just completely break while interacting with it. Both were very frustrating to use."
2024-09-16 11:53:35.791115,Neither of them was any good at helping with movie recommendations.
2024-09-16 11:57:14.096762,the second didn't help at all it wasn't able to give me one movie recommendation whatsoever and did not give me proper answers as well
2024-09-16 12:01:20.679996,It was better in terms of recomendations to what I asked for though it was a bit out in terms of the tone of language and where it placed naturally into conversation
2024-09-16 12:02:40.409967,They're both equally useless. None of the responses made any sense. Did not respond to questions in any way as if the answers were pre-determined.
2024-09-16 12:07:20.796879,They both had big problems and got totally lost but CRS 1 was a little bit better 
2024-09-16 12:08:50.940986,"I liked it little better because  atleast it came up with some suggestion about movies but not that much,the list was very limited."
2024-09-16 12:11:47.856340,Both failed to give a worthwhile reccomendation. Also both ignored me telling them i had seen their reccomendation or was not interested in their suggestion
2024-09-16 12:14:49.907183,They were both very bad. Sorry.  They did not seem to extend the conversation.
2024-09-16 12:20:37.939261,"Both seem to be responding with borderline gibberish, with responses that have nothing to do with the prompt. CRS1 was at least writing more complete sentences, but CRS2 seemed to repeat a lot of words."
2024-09-16 12:28:42.397803,Both were frustrating to work with. I would prefer to just use google search.
2024-09-16 12:28:57.231194,"at least crs1 recommended some vampire movies, crs2 was very bad, not making sense and listed movies that were not correct."
2024-09-16 12:28:12.713205,"I voted tie even though CRS 1 was a little smarter because CRS 1 couldn't give me good answers to new horror movies of 2024, and all CRS 2 did was keep telling me ""he was good"" and wouldn't respond to my questions at all"
2024-09-16 12:34:39.764684,CRS1 did not make much sense with the follow-up questions.  CRS2 did not ask detailed questions and decided to close down the conversation early and did not make much sense.
2024-09-16 12:36:26.896412,Both of the CRS were terrible when responding. They made now sense and didn't directly answer my questions. I would not want to interact with either of the in the future.
2024-09-16 12:45:25.385542,"I didn't think that either of the models were helpful at all, was very frustrating trying to have a conversation with both of them"
2024-09-16 12:45:37.597548,"CRS 2 replies weren't related to the task at all. Although CRS 1 didn't provide many details when asked to do it, at least it gave me a list of movies that existed."
2024-09-16 12:47:27.974810,CRS 1 answered my question about a film recommendation and even gave me a summary of the film I asked for. The second one however did not understand my question and kept giving me irrelevant titles.
2024-09-16 12:53:22.572241,"CRS 1 gave me two different release years for Avatar. It only recommended films that were very old, but CRS 2 just seemed to have a fault, it didn't seem to list the films it was recommending. So while they were both pretty bad, CRS 1 was superior. "
2024-09-16 12:57:05.196146,"CRS1 just gave mostly unintelligible responses whilst CRS2 was great, gave good recommendations and tailored these based on the feedback that I gave to the answers."
2024-09-16 12:57:20.191150,I'm sorry but both of these chat bots were wrong . they were giving me wrong information and also CRS 2 didn't even bother answering my questions 
2024-09-16 13:10:00.470386,Neither AI was particularly good. CRS1 kept pushing the same movie and CRS2 gave some random answers and didn't really follow the conversation.
2024-09-16 13:09:41.204780,"Both chatbots are difficult to have a conversation with. I voted for the second one because it at least mentioned the name of the movie, whereas I often couldn't tell which movie the first one was referring to."
2024-09-16 13:17:11.605390,Both of the CSR were not able to  successfully complete my request. CSR was a little bit better but wrong.
2024-09-16 13:18:34.992958,CRS 1 was really helpful CRS 2 didn't seem to answer my questions at all well.
2024-09-16 13:26:51.196658,"Both bots didnt go along with my questions, crs1 repeated itself three times to three different questions, they were both frustrating , as in a tie but crs1 was worst "
2024-09-16 13:28:16.602203,CRS 1 gave vague answers twice in Chinese when I asked for English.  
2024-09-16 13:32:30.750610,The CRS 1 would either repeat what I said or give me a recommendation that seemed fake. 
2024-09-16 13:38:11.295413,They didn't recommend me any movies from the criteria i gave it and instead was taking every word i said as the movie name. 
2024-09-16 13:39:13.794107,"I did not enjoy using any of the bots, they both provided recommendations which were either not relevant or not in line with the question. I thought they didnt provide any relevant answers."
2024-09-16 13:45:11.796948,"Both of them were giving very bad recommendations. CRS 2 suggested ""The Shining"" which was the closest to the kind of movie I was looking for. CRS 1 kept suggesting movies that really had nothing at all to do with what I wanted. I tried to explain to them that the films they were listing were not what I wanted, but they didn't appear to understand me."
2024-09-16 13:46:47.898588,Both answer were very bad and had no correlation to the questions asked.
2024-09-16 13:47:43.094512,"CRS1 and 2 took about same time to respond. Although, 1 gave me more helpful suggestions. 2 occasionally gave me incorrect responds and errors and made me uncomfortable. "
2024-09-16 13:55:24.842716,"These were both shockingly bad, with CRS2 only very marginally better. CRS1 did not understand what was being asked."
2024-09-16 13:56:05.175133,both did not answer my questions properly about movies and failed to understand what i meant. I feel that i would be watching a movie that may not be suitable to the kind of movies i like
2024-09-16 14:06:16.551771,"CRS1 gave good answers, gave good recommendations and responded properly to the prompts. CRS2 gave non-sensical answers, did not reply to prompts properly and did not give good information."
2024-09-16 14:11:03.138272,"CRS 1 recommended movies which were similar to the one I mentioned, the suggestions were useful and they were really similar to the one I mentioned, so they were genuine suggestions. Although CRS 1 didn't add the release dates to the recommendations as I requested. CRS 2 was almost completely useless, the assistant kept repeating the genre of the movie and only provided three recommendations after I asked repeatedly. CRS 2 was much more frustrating."
2024-09-16 14:19:32.199411,They both were pretty fast at responding which I liked.  They both sucked on providing any details.  They would repeat wrong details over and over.
2024-09-16 14:22:04.208225,number 1 was 8/10 and number 2 was 1/10 with the last chatbot it seemed like it did not understand any of the questions that i put to it
2024-09-16 14:28:15.495339,"CRS 2 was much better. CRS 1 constantly repeated irrelevant information, didn't make any sense, and couldn't string a proper coherent sentence together. CRS 2 wasn't perfect but did offer some recommendations and made sense!"
2024-09-16 14:27:58.456125,"CRS1 made no sense at all really, and the responses were nonsensical, at least with CR2 there was some semblance of a conversation, although was not able to help with my request at all."
2024-09-16 14:34:23.648165,"It seems like CRS 1 was stuck at providing recomenation only for the ""The Hangover "" franchise so not that great. On the other hand, CRS 2 seemed to be more up to date and accurate in suggestions."
2024-09-16 14:41:11.674227,Both gave replies that suggested that they didn't understand the question or gave incomplete replies that were unhelpful.
2024-09-16 14:47:54.570310,"CRS 2 felt like it was broken to me as it only gave one answer that was understandable and not just nonsense. CRS 1 did not give as much information as I would have liked, but still gave suggestions making it the winner."
2024-09-16 14:55:34.983022,"The first bot at least gave me some movie names to watch despite not being much help.
The second bot was useless and very frustrating to use."
2024-09-16 15:02:54.290111,Cr2 is not able to give proper response about my queries
2024-09-16 15:02:53.274449,"Neither provided satisfactory response. Both gave different response to prompts. When asked for artists of movie, none suggested."
2024-09-16 15:04:20.155102,CRS 1 provided me with some good film recommendations. It was also responsive and understood my questions as I asked them. I would use CRS 1 again.
2024-09-16 15:13:35.848470,They were both pretty terrible and often did not make sense. The recommendations they gave were not helpful
2024-09-16 15:16:38.531071,"Both were glitchey and did not answer the question correctly, I would not recommend either one to get information for movies."
2024-09-16 15:17:39.555647,"Both are quite bad. Can't decide which one is worse. Would never use them again. Rubbish recommendations, both are equally frustrating to talk to"
2024-09-16 15:33:03.303831,"I voted CRS 1 because at least it actually recommended films and what I was interested in and when I found I film it was able to give me details about that film, only slight conplaint was my first message responded wierd and the last message about where can I watch was maybe a bit too complex. CRS 2 was really frustrating for it even to talk about movies at times and when it did, recommended the wrong genre. Was not helpful at all."
2024-09-16 15:35:18.281219,Neither CRS 1 nor CRS 2 provided useful information to satisfy my prompt. The former shared films not released in the asked year and neither did the  latter. 
2024-09-16 15:42:52.595883,"Both not good. The second was worse, it only offered me one suggestion even though it said I'd seen it already.
The first wasn't suggesting anything that aligned with what I liked. 
They were both equally frustrating and not good, though in different ways."
2024-09-16 15:46:02.572796,They are both bad at understanding what I was asking. I wouldn't use either
2024-09-16 15:48:04.946865,CRS 1 is quite impressive i like the fact that we have the likeminds and it recommended the action movies i would love to see on the other hand CRS 2 is quite disappointing and frustrating couldn't comprehend all the responses it gave.
2024-09-16 15:59:39.346926,"♡ both were similar in terms of they couldn't provide fully specific answers to my questions, especially when i asked them to expand on title names or plot etc. however chatbot 2 actually did provide me with some titles (and dates) whereas chatbot 1 could not do this ♡"
2024-09-16 15:59:20.214644,"crs 1 did recommend some films to watch and gave quite a few. I would have liked to have been able to get a brief summary of the films that were recommended. crs 2 was pretty useless, sometimes it didn't even give a film recommendation, when asked. Other times it gave a film recommendation back that I had given it as an example."
2024-09-16 16:06:18.506607,Both chat bots did not sufficiently recommend a movie that I wanted to watch. Both struggled to comprehend probing questions about movies and recommendations that I wanted to know more about. For this reason I rated it a tie since I did not come away with a clear winner or answer to my questions.
2024-09-16 16:15:16.673948,The first chatbot could only recommend one movie series it seemed and did not recognize or comprehend my questions.The second chatbot actually recognized one film I liked.
2024-09-16 16:16:18.177714,very interesting study. I enjoy it very much.  I appreciate the way it suggest movie and help to choice the movie. Good suggestions. 
2024-09-16 16:18:11.542288,CRS 1 is detailed with correct answers. CSR 2 is completely nonsensical.
2024-09-16 16:26:11.845415,"I could not get much information out of either, although CRS 2 did recommend me a better list of movies."
2024-09-16 16:26:11.659158,I prefer the second rep because he/she is more responsive and actually provided me movies while the first rep didn’t give any responses at times. Rep 1 was also much more help than rep 2z
